,X,Y,Z
0.0,0.0,0.0,0.0
0.1,-5.7828773140508265e-08,-2.874417735626166e-07,-2.0781877439645045e-07
0.2,-1.2836706210295274e-07,-3.82505396919028e-07,-8.250203492320686e-07
0.30000000000000004,-1.1013596481743921e-07,-3.3543961528368576e-07,-9.455148638486602e-07
0.4,-1.3701438202826236e-07,-1.0529195310768044e-07,-9.185769080564423e-07
0.5,-1.6550713628825393e-07,-5.760208581431323e-07,-1.1525355015567178e-06
0.6000000000000001,-1.7288682275493947e-07,-3.758951471533467e-07,-1.8419502845482408e-06
0.7000000000000001,-4.534274849141714e-07,-3.0426634510519174e-07,-1.913035666020253e-06
0.8,-1.962671848629154e-07,-3.675343781845335e-07,-1.778161950895485e-06
0.9,2.5693165931509334e-07,2.1869394540093984e-07,-2.6985846927358944e-06
1.0,9.405068635211185e-07,-2.46594143131347e-07,-2.733793507937785e-06
1.1,1.2947793754975483e-06,-7.385211890065428e-07,-1.7566696540865965e-06
1.2000000000000002,1.311020223167236e-06,-1.194189361126004e-06,-1.5089208405927114e-06
1.3,1.8595323954514423e-06,-1.261282196656612e-06,-9.579051098764199e-07
1.4000000000000001,2.5005479141435035e-06,-1.886629133334785e-06,-7.41424808162732e-07
1.5,2.6820421569090086e-06,-1.974643149522356e-06,-1.7736778272452298e-07
1.6,2.651524316916324e-06,-2.0214582016327822e-06,3.0817009814397e-07
1.7000000000000002,2.714465775380903e-06,-1.5618217204486833e-06,7.445640675924368e-07
1.8,2.2031371531534338e-06,-1.2773125686013916e-06,-8.019330482516886e-08
1.9000000000000001,2.058277169018432e-06,-1.7201926141592409e-06,-1.2401574802134018e-07
2.0,2.5167211668083493e-06,-1.3156514368958102e-06,6.101002658704927e-07
2.1,2.828329113470192e-06,-4.5434280835600445e-07,4.2507849632221016e-07
2.2,2.6126505721223626e-06,6.392365559456728e-07,2.5120428635862275e-07
2.3000000000000003,2.2642715119192774e-06,1.2805408685662787e-06,5.021987332675891e-07
2.4000000000000004,2.6377934318352354e-06,1.1158954955745776e-06,1.4734738345156882e-08
2.5,2.757982325928508e-06,3.757700779091452e-07,-2.6511948611750345e-08
2.6,2.7026226088840856e-06,-9.597721700394803e-08,4.9586709917461496e-08
2.7,2.374915715565278e-06,-2.4901072125642853e-07,4.004471900000704e-07
2.8000000000000003,2.039476437983086e-06,-4.318307508199163e-08,-2.04513798519309e-07
2.9000000000000004,1.7281196419476715e-06,1.2069849436858774e-07,-7.605851913797236e-07
3.0,1.9979644407169456e-06,-8.740724953153659e-08,-4.3947347217032276e-07
3.1,2.4705544455982013e-06,2.458984851283694e-07,-1.048213581960432e-06
3.2,2.5258027427593824e-06,5.373795907381058e-07,-1.5886190974993251e-06
3.3000000000000003,1.8940131042567119e-06,1.3668659997223685e-06,-2.4169986814342387e-06
3.4000000000000004,2.6886834262674693e-06,1.227341100008123e-06,-1.7676759749130368e-06
3.5,3.1489432119953105e-06,1.064322442248234e-06,-7.311794528565226e-07
3.6,3.1908235605875947e-06,7.239848003667428e-07,-2.632050157604874e-07
3.7,3.176776236336446e-06,1.579348622958986e-06,-9.803038608145308e-08
3.8000000000000003,3.305329978765967e-06,1.9263267335685776e-06,1.0009977277950682e-07
3.9000000000000004,3.1502595173071453e-06,1.9993894995374394e-06,-2.317977102612934e-08
4.0,2.670797955378319e-06,2.151658572507965e-06,-1.139125870535823e-07
4.1000000000000005,2.4585735027532137e-06,2.245674359737897e-06,2.964055320629532e-07
4.2,2.4091078362060886e-06,1.9496454704687615e-06,8.180121340794693e-07
4.3,2.2916015539112243e-06,2.4879177567909835e-06,1.6358940591331413e-06
4.4,2.6321580365738832e-06,2.6656934580030946e-06,1.4370249330746303e-06
4.5,2.562985789647294e-06,3.4575489255248037e-06,1.4730716106286148e-06
